Member Id,Team Id,Title,Start Date,End Date
3,13,Member,2011-09-12,None
3,19,Member,2011-09-12,None
3,18,Member,2011-09-12,None
3,8,Member,2011-09-12,None
6,9,Member,2016-10-31,None
6,17,Member,2016-10-31,None
15,15,Member,2012-09-17,None
15,10,Member,2012-09-17,None
15,16,Member,2012-09-17,None
15,5,Member,2012-09-17,None
15,8,Member,2012-09-17,None
21,6,Member,2015-05-23,None
21,12,Member,2015-05-23,None
27,3,Member,2016-02-04,None
27,12,Member,2016-02-04,None
27,4,Member,2016-02-04,None
27,16,Member,2016-02-04,None
27,9,Member,2016-02-04,None
30,11,Member,2011-07-09,None
33,16,Member,2014-09-01,None
33,5,Member,2014-09-01,None
33,11,Member,2014-09-01,None
39,3,Member,2018-11-09,None
42,13,Member,2011-04-10,None
42,15,Member,2011-04-10,None
42,6,Member,2011-04-10,None
45,15,Member,2018-05-19,None
45,18,Member,2018-05-19,None
48,13,Member,2011-02-06,None
48,20,Member,2011-02-06,None
48,18,Member,2011-02-06,None
48,4,Member,2011-02-06,None
51,14,Member,2018-11-23,None
51,5,Member,2018-11-23,None
51,18,Member,2018-11-23,None
51,15,Member,2018-11-23,None
54,1,Member,2014-06-12,None
57,19,Member,2019-06-10,None
57,8,Member,2019-06-10,None
60,7,Member,2014-06-25,None
60,14,Member,2014-06-25,None
60,20,Member,2014-06-25,None
60,2,Member,2014-06-25,None
63,4,Member,2015-05-04,None
63,20,Member,2015-05-04,None
63,18,Member,2015-05-04,None
66,11,Member,2014-11-13,None
66,12,Member,2014-11-13,None
69,6,Member,2019-06-16,None
72,1,Member,2015-08-04,None
72,6,Member,2015-08-04,None
72,18,Member,2015-08-04,None
75,3,Member,2014-03-10,None
75,13,Member,2014-03-10,None
75,15,Member,2014-03-10,None
75,10,Member,2014-03-10,None
75,9,Member,2014-03-10,None
78,14,Member,2011-07-19,None
81,16,Member,2016-04-08,None
81,10,Member,2016-04-08,None
81,4,Member,2016-04-08,None
81,2,Member,2016-04-08,None
84,19,Member,2019-05-06,None
84,6,Member,2019-05-06,None
87,4,Member,2015-12-30,None
87,9,Member,2015-12-30,None
87,19,Member,2015-12-30,None
87,6,Member,2015-12-30,None
90,9,Member,2013-02-05,None
90,5,Member,2013-02-05,None
90,8,Member,2013-02-05,None
93,14,Member,2019-03-06,None
93,11,Member,2019-03-06,None
93,2,Member,2019-03-06,None
96,16,Member,2020-12-08,None
96,9,Member,2020-12-08,None
96,8,Member,2020-12-08,None
99,3,Member,2011-09-12,None
99,18,Member,2011-09-12,None
99,4,Member,2011-09-12,None
99,15,Member,2011-09-12,None
99,9,Member,2011-09-12,None
105,16,Member,2014-11-26,None
105,5,Member,2014-11-26,None
105,6,Member,2014-11-26,None
108,14,Member,2014-07-10,None
108,5,Member,2014-07-10,None
108,6,Member,2014-07-10,None
111,3,Member,2011-08-25,None
111,17,Member,2011-08-25,None
111,2,Member,2011-08-25,None
114,9,Member,2012-11-26,None
114,6,Member,2012-11-26,None
117,12,Member,2020-12-15,None
120,16,Member,2012-11-02,None
120,9,Member,2012-11-02,None
120,6,Member,2012-11-02,None
123,20,Member,2019-07-23,None
126,13,Member,2012-06-29,None
126,7,Member,2012-06-29,None
129,1,Member,2019-09-01,None
129,7,Member,2019-09-01,None
132,7,Member,2015-08-17,None
132,14,Member,2015-08-17,None
132,11,Member,2015-08-17,None
135,3,Member,2012-01-04,None
135,11,Member,2012-01-04,None
135,2,Member,2012-01-04,None
135,9,Member,2012-01-04,None
135,8,Member,2012-01-04,None
138,10,Member,2014-06-26,None
144,14,Member,2019-07-29,None
144,11,Member,2019-07-29,None
144,15,Member,2019-07-29,None
144,3,Member,2019-07-29,None
147,1,Member,2016-12-15,None
147,11,Member,2016-12-15,None
147,6,Member,2016-12-15,None
147,17,Member,2016-12-15,None
150,5,Member,2015-12-08,None
150,11,Member,2015-12-08,None
153,4,Member,2011-11-04,None
153,19,Member,2011-11-04,None
153,2,Member,2011-11-04,None
153,6,Member,2011-11-04,None
153,9,Member,2011-11-04,None
156,7,Member,2020-04-20,None
156,10,Member,2020-04-20,None
156,2,Member,2020-04-20,None
159,18,Member,2020-11-03,None
159,14,Member,2020-11-03,None
159,11,Member,2020-11-03,None
159,17,Member,2020-11-03,None
159,5,Member,2020-11-03,None
162,3,Member,2017-10-08,None
165,19,Member,2013-09-19,None
165,12,Member,2013-09-19,None
168,7,Member,2020-10-21,None
168,15,Member,2020-10-21,None
168,20,Member,2020-10-21,None
168,18,Member,2020-10-21,None
174,7,Member,2020-06-04,None
174,8,Member,2020-06-04,None
177,15,Member,2011-10-11,None
180,1,Member,2015-10-08,None
180,10,Member,2015-10-08,None
186,4,Member,2017-11-22,None
186,10,Member,2017-11-22,None
186,8,Member,2017-11-22,None
186,2,Member,2017-11-22,None
189,19,Member,2020-06-06,None
192,16,Member,2020-06-25,None
192,19,Member,2020-06-25,None
192,3,Member,2020-06-25,None
195,14,Member,2020-03-01,None
195,9,Member,2020-03-01,None
195,10,Member,2020-03-01,None
201,13,Member,2016-11-20,None
201,19,Member,2016-11-20,None
201,6,Member,2016-11-20,None
201,9,Member,2016-11-20,None
201,8,Member,2016-11-20,None
204,3,Member,2017-07-18,None
204,13,Member,2017-07-18,None
204,14,Member,2017-07-18,None
204,19,Member,2017-07-18,None
204,2,Member,2017-07-18,None
207,1,Member,2015-11-19,None
207,9,Member,2015-11-19,None
207,16,Member,2015-11-19,None
210,1,Member,2015-07-01,None
210,13,Member,2015-07-01,None
210,10,Member,2015-07-01,None
213,1,Member,2011-10-29,None
213,5,Member,2011-10-29,None
213,20,Member,2011-10-29,None
213,2,Member,2011-10-29,None
216,1,Member,2019-04-15,None
216,14,Member,2019-04-15,None
216,13,Member,2019-04-15,None
219,1,Member,2018-01-26,None
219,20,Member,2018-01-26,None
219,18,Member,2018-01-26,None
219,17,Member,2018-01-26,None
222,1,Member,2012-08-27,None
222,12,Member,2012-08-27,None
222,13,Member,2012-08-27,None
222,2,Member,2012-08-27,None
222,16,Member,2012-08-27,None
228,10,Member,2018-08-21,None
237,4,Member,2015-12-08,None
237,10,Member,2015-12-08,None
237,6,Member,2015-12-08,None
237,12,Member,2015-12-08,None
240,18,Member,2015-02-21,None
240,3,Member,2015-02-21,None
240,19,Member,2015-02-21,None
240,11,Member,2015-02-21,None
240,9,Member,2015-02-21,None
243,1,Member,2020-12-01,None
243,6,Member,2020-12-01,None
243,12,Member,2020-12-01,None
243,2,Member,2020-12-01,None
249,8,Member,2019-02-07,None
252,4,Member,2016-03-03,None
252,19,Member,2016-03-03,None
252,3,Member,2016-03-03,None
252,17,Member,2016-03-03,None
258,11,Member,2014-07-03,None
258,2,Member,2014-07-03,None
261,17,Member,2018-06-13,None
264,7,Member,2015-03-18,None
264,3,Member,2015-03-18,None
264,16,Member,2015-03-18,None
264,18,Member,2015-03-18,None
267,16,Member,2013-12-07,None
267,11,Member,2013-12-07,None
270,7,Member,2016-08-28,None
270,19,Member,2016-08-28,None
270,4,Member,2016-08-28,None
270,12,Member,2016-08-28,None
276,4,Member,2020-03-29,None
276,19,Member,2020-03-29,None
276,8,Member,2020-03-29,None
276,12,Member,2020-03-29,None
279,1,Member,2017-12-31,None
279,19,Member,2017-12-31,None
279,11,Member,2017-12-31,None
279,16,Member,2017-12-31,None
279,8,Member,2017-12-31,None
282,14,Member,2016-06-04,None
285,18,Member,2016-12-24,None
285,19,Member,2016-12-24,None
285,17,Member,2016-12-24,None
285,16,Member,2016-12-24,None
285,5,Member,2016-12-24,None
291,9,Member,2019-09-10,None
291,12,Member,2019-09-10,None
294,14,Member,2012-12-31,None
297,15,Member,2019-05-18,None
297,6,Member,2019-05-18,None
300,10,Member,2019-04-21,None
303,4,Member,2020-11-16,None
303,14,Member,2020-11-16,None
303,8,Member,2020-11-16,None
306,1,Member,2017-04-01,None
306,3,Member,2017-04-01,None
306,18,Member,2017-04-01,None
306,6,Member,2017-04-01,None
306,17,Member,2017-04-01,None
309,7,Member,2011-06-29,None
309,9,Member,2011-06-29,None
309,11,Member,2011-06-29,None
315,7,Member,2011-04-01,None
315,19,Member,2011-04-01,None
315,3,Member,2011-04-01,None
315,12,Member,2011-04-01,None
318,11,Member,2019-05-08,None
321,4,Member,2015-04-28,None
321,15,Member,2015-04-28,None
321,2,Member,2015-04-28,None
324,16,Member,2014-04-09,None
327,16,Member,2012-05-09,None
336,10,Member,2020-10-29,None
339,18,Member,2013-09-10,None
342,16,Member,2015-04-03,None
342,10,Member,2015-04-03,None
345,19,Member,2015-07-22,None
348,4,Member,2013-06-09,None
348,3,Member,2013-06-09,None
348,11,Member,2013-06-09,None
348,17,Member,2013-06-09,None
351,14,Member,2018-12-13,None
351,3,Member,2018-12-13,None
354,7,Member,2015-01-16,None
354,5,Member,2015-01-16,None
354,10,Member,2015-01-16,None
354,2,Member,2015-01-16,None
357,14,Member,2015-06-28,None
357,12,Member,2015-06-28,None
360,6,Member,2017-01-11,None
360,19,Member,2017-01-11,None
360,10,Member,2017-01-11,None
360,18,Member,2017-01-11,None
363,14,Member,2020-10-06,None
363,18,Member,2020-10-06,None
369,10,Member,2012-08-28,None
378,16,Member,2020-05-01,None
378,5,Member,2020-05-01,None
378,10,Member,2020-05-01,None
381,14,Member,2017-05-22,None
381,3,Member,2017-05-22,None
381,6,Member,2017-05-22,None
381,12,Member,2017-05-22,None
387,16,Member,2016-10-11,None
387,6,Member,2016-10-11,None
387,7,Member,2016-10-11,None
390,3,Member,2016-05-18,None
390,7,Member,2016-05-18,None
390,17,Member,2016-05-18,None
390,5,Member,2016-05-18,None
390,8,Member,2016-05-18,None
393,16,Member,2011-04-27,None
393,14,Member,2011-04-27,None
393,9,Member,2011-04-27,None
393,18,Member,2011-04-27,None
396,6,Member,2011-04-09,None
396,9,Member,2011-04-09,None
396,11,Member,2011-04-09,None
399,7,Member,2019-05-14,None
399,1,Member,2019-05-14,None
