Member Id,Team Id,Title,Start Date,End Date
228,1,Team Supervisor,2018-08-21,None
111,2,Team Supervisor,2011-08-25,None
215,3,Team Supervisor,2013-11-26,None
61,4,Team Supervisor,2017-12-01,None
25,5,Team Supervisor,2018-08-16,None
258,6,Team Supervisor,2014-07-03,None
206,7,Team Supervisor,2011-01-18,None
108,8,Team Supervisor,2014-07-10,None
12,9,Team Supervisor,2015-01-09,None
397,10,Team Supervisor,2014-12-05,None
136,11,Team Supervisor,2020-08-08,None
54,12,Team Supervisor,2014-06-12,None
264,13,Team Supervisor,2015-03-18,None
12,14,Team Supervisor,2015-01-09,None
269,15,Team Supervisor,2015-08-30,None
253,16,Team Supervisor,2015-03-04,None
293,17,Team Supervisor,2012-11-01,None
322,18,Team Supervisor,2013-05-15,None
302,19,Team Supervisor,2018-04-06,None
92,20,Team Supervisor,2020-12-08,None
